sequence number,RSSI,send time,received time,received date,delay,content
45,-73,1680071261474,1680071266698,14:27:46,5224,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.60 RSRQ:-7.40 TAC:616 Id:266 EARFCN:1209 PWR:-70.42 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
46,-73,1680071289975,1680071295483,14:28:15,5508,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.90 RSRQ:-10.20 TAC:616 Id:266 EARFCN:1209 PWR:-71.92 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
47,-75,1680071318460,1680071323972,14:28:43,5512,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.50 RSRQ:-10.80 TAC:616 Id:85 EARFCN:1209 PWR:-74.92 PAGING:256 CID:0xB169623 BAND:3 BW:20000
48,-75,1680071346960,1680071353749,14:29:13,6789,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.40 RSRQ:-14.40 TAC:616 Id:85 EARFCN:1209 PWR:-71.22 PAGING:256 CID:0xB169623 BAND:3 BW:20000
49,-77,1680071375460,1680071381910,14:29:41,6450,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.80 RSRQ:-10.80 TAC:616 Id:85 EARFCN:1209 PWR:-76.22 PAGING:256 CID:0xB169623 BAND:3 BW:20000
50,-77,1680071403960,1680071413593,14:30:13,9633,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.20 RSRQ:-12.30 TAC:616 Id:85 EARFCN:1209 PWR:-73.12 PAGING:256 CID:0xB169623 BAND:3 BW:20000
51,-69,1680071432461,1680071439170,14:30:39,6709,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.20 RSRQ:-15.20 TAC:616 Id:85 EARFCN:1209 PWR:-74.22 PAGING:256 CID:0xB169623 BAND:3 BW:20000
52,-71,1680071460963,1680071520296,14:32:00,59333,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.50 RSRQ:-19.50 TAC:616 Id:85 EARFCN:1209 PWR:-70.22 PAGING:256 CID:0xB169623 BAND:3 BW:20000
53,-71,1680071489458,1680071520297,14:32:00,30839,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.80 RSRQ:-17.70 TAC:616 Id:85 EARFCN:1209 PWR:-69.32 PAGING:256 CID:0xB169623 BAND:3 BW:20000
54,-65,1680071517946,1680071523432,14:32:03,5486,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.10 RSRQ:-9.50 TAC:616 Id:266 EARFCN:1209 PWR:-65.82 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
55,-75,1680071546447,1680071555652,14:32:35,9205,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-98.40 RSRQ:-14.50 TAC:616 Id:266 EARFCN:1209 PWR:-76.12 PAGING:256 CID:0xB41E824 BAND:3 BW:20000
56,-69,1680071574950,1680071590965,14:33:10,16015,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.80 RSRQ:-16.40 TAC:616 Id:85 EARFCN:1209 PWR:-68.62 PAGING:256 CID:0xB169623 BAND:3 BW:20000
57,-63,1680071603452,1680071637981,14:33:57,34529,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.90 RSRQ:-12.80 TAC:616 Id:372 EARFCN:1209 PWR:-63.32 PAGING:256 CID:0xB41E823 BAND:3 BW:20000
58,-57,1680071631947,1680071638137,14:33:58,6190,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-72.40 RSRQ:-9.40 TAC:616 Id:232 EARFCN:1209 PWR:-55.22 PAGING:256 CID:0xB361224 BAND:3 BW:20000
59,-69,1680071660444,1680071666140,14:34:26,5696,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.80 RSRQ:-6.00 TAC:616 Id:232 EARFCN:1209 PWR:-70.02 PAGING:256 CID:0xB361224 BAND:3 BW:20000
60,-51,1680071688957,1680071694260,14:34:54,5303,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-71.40 RSRQ:-10.50 TAC:616 Id:161 EARFCN:3716 PWR:-53.12 PAGING:256 CID:0xB363027 BAND:8 BW:20000
61,-63,1680071717468,1680071722645,14:35:22,5177,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.00 RSRQ:-13.50 TAC:616 Id:161 EARFCN:3716 PWR:-61.72 PAGING:256 CID:0xB363027 BAND:8 BW:20000
62,-55,1680071745981,1680071752579,14:35:52,6598,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-79.30 RSRQ:-8.50 TAC:616 Id:100 EARFCN:1209 PWR:-63.02 PAGING:256 CID:0xB363022 BAND:3 BW:20000
63,-63,1680071774483,1680071829582,14:37:09,55099,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.50 RSRQ:-11.20 TAC:616 Id:100 EARFCN:1209 PWR:-66.52 PAGING:256 CID:0xB363022 BAND:3 BW:20000
64,-67,1680071802988,1680071829832,14:37:09,26844,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-104.60 RSRQ:-34.50 TAC:616 Id:100 EARFCN:1209 PWR:-62.32 PAGING:256 CID:0xB363022 BAND:3 BW:20000
65,-61,1680071831493,1680071837258,14:37:17,5765,+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-76.50 RSRQ:-7.10 TAC:616 Id:478 EARFCN:1209 PWR:-61.62 PAGING:256 CID:0xB35F424 BAND:3 BW:20000
