sequence number,RSSI,send time,content
35,-57,16:16:16,$00169#00000035#-057#1680077776999#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-80.50 RSRQ:-16.70 TAC:648 Id:355 EARFCN:3716 PWR:-56.02 PAGING:256 CID:0xB321627 BAND:8 BW:20000?
36,-71,16:16:45,$00168#00000036#-071#1680077805503#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.10 RSRQ:-9.90 TAC:648 Id:355 EARFCN:3716 PWR:-69.42 PAGING:256 CID:0xB321627 BAND:8 BW:20000?
37,-73,16:17:14,$00169#00000037#-073#1680077834009#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.00 RSRQ:-13.50 TAC:648 Id:443 EARFCN:1209 PWR:-72.72 PAGING:256 CID:0xB312624 BAND:3 BW:20000?
38,-71,16:17:42,$00168#00000038#-071#1680077862513#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-10.10 TAC:648 Id:78 EARFCN:1209 PWR:-69.02 PAGING:256 CID:0xB312622 BAND:3 BW:20000?
39,-73,16:18:11,$00168#00000039#-073#1680077891017#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.00 RSRQ:-12.40 TAC:648 Id:78 EARFCN:1209 PWR:-67.82 PAGING:256 CID:0xB312622 BAND:3 BW:20000?
40,-63,16:18:39,$00169#00000040#-063#1680077919525#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-83.90 RSRQ:-13.10 TAC:618 Id:439 EARFCN:3716 PWR:-63.02 PAGING:256 CID:0xB4C9126 BAND:8 BW:20000?
41,-61,16:19:08,$00169#00000041#-061#1680077948017#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-98.30 RSRQ:-37.40 TAC:618 Id:439 EARFCN:3716 PWR:-53.12 PAGING:256 CID:0xB4C9126 BAND:8 BW:20000?
42,-61,16:19:36,$00036#00000042#-061#1680077976524#?
43,-77,16:20:05,$00168#00000043#-077#1680078005046#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-97.60 RSRQ:-11.30 TAC:618 Id:88 EARFCN:1209 PWR:-78.52 PAGING:256 CID:0xB2B5E22 BAND:3 BW:20000?
44,-83,16:20:33,$00169#00000044#-083#1680078033563#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-105.80 RSRQ:-15.50 TAC:618 Id:88 EARFCN:1209 PWR:-82.52 PAGING:256 CID:0xB2B5E22 BAND:3 BW:20000?
45,-83,16:21:02,$00036#00000045#-083#1680078062074#?
