sequence number,RSSI,send time,content
36,-75,17:11:47,$00167#00000036#-075#1693041107761#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.20 RSRQ:-6.80 TAC:616 Id:20 EARFCN:3716 PWR:-74.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
37,-73,17:12:06,$00167#00000037#-073#1693041126250#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.40 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-71.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
38,-75,17:12:24,$00167#00000038#-075#1693041144741#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.20 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-71.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
39,-77,17:12:43,$00167#00000039#-077#1693041163229#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.70 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-75.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
40,-79,17:13:01,$00167#00000040#-079#1693041181718#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.50 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-75.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
41,-75,17:13:20,$00167#00000041#-075#1693041200206#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-93.60 RSRQ:-9.50 TAC:616 Id:20 EARFCN:3716 PWR:-76.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
42,-79,17:13:38,$00167#00000042#-079#1693041218691#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.20 RSRQ:-7.50 TAC:616 Id:20 EARFCN:3716 PWR:-75.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
43,-79,17:13:57,$00167#00000043#-079#1693041237180#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.10 RSRQ:-9.40 TAC:616 Id:20 EARFCN:3716 PWR:-76.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
44,-75,17:14:15,$00167#00000044#-075#1693041255668#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.80 RSRQ:-7.30 TAC:616 Id:20 EARFCN:3716 PWR:-73.72 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
45,-71,17:14:34,$00167#00000045#-071#1693041274157#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.30 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-71.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
46,-75,17:14:52,$00167#00000046#-075#1693041292645#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.00 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-73.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
47,-75,17:15:11,$00167#00000047#-075#1693041311134#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.10 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-71.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
48,-75,17:15:29,$00167#00000048#-075#1693041329625#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.50 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-73.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
49,-77,17:15:48,$00167#00000049#-077#1693041348112#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.90 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-73.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
50,-79,17:16:06,$00167#00000050#-079#1693041366603#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-95.50 RSRQ:-9.70 TAC:616 Id:20 EARFCN:3716 PWR:-78.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
51,-77,17:16:25,$00036#00000051#-077#1693041385086#?
52,-77,17:16:43,$00167#00000052#-077#1693041403574#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.00 RSRQ:-7.80 TAC:616 Id:20 EARFCN:3716 PWR:-78.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
53,-79,17:17:02,$00167#00000053#-079#1693041422063#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.80 RSRQ:-9.80 TAC:616 Id:20 EARFCN:3716 PWR:-75.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
54,-75,17:17:20,$00167#00000054#-075#1693041440551#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.00 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-74.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
55,-75,17:17:39,$00167#00000055#-075#1693041459040#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.50 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-73.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
56,-79,17:17:57,$00167#00000056#-079#1693041477528#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-91.90 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-75.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
57,-77,17:18:16,$00167#00000057#-077#1693041496016#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-94.30 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-77.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
58,-75,17:18:34,$00167#00000058#-075#1693041514505#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.70 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-72.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
59,-71,17:18:52,$00167#00000059#-071#1693041532996#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.30 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-71.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
60,-77,17:19:11,$00167#00000060#-077#1693041551484#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.90 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-74.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
61,-71,17:19:29,$00167#00000061#-071#1693041569973#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.30 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-68.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
62,-73,17:19:48,$00167#00000062#-073#1693041588461#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.50 RSRQ:-9.50 TAC:616 Id:20 EARFCN:3716 PWR:-71.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
63,-75,17:20:06,$00167#00000063#-075#1693041606950#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.00 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-73.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
64,-77,17:20:25,$00167#00000064#-077#1693041625439#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-90.70 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-73.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
65,-77,17:20:43,$00167#00000065#-077#1693041643933#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.80 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-73.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
66,-77,17:21:02,$00167#00000066#-077#1693041662433#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.70 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-72.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
67,-79,17:21:20,$00167#00000067#-079#1693041680940#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-92.50 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-75.62 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
68,-73,17:21:39,$00167#00000068#-073#1693041699449#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-89.50 RSRQ:-9.50 TAC:616 Id:20 EARFCN:3716 PWR:-72.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
69,-71,17:21:57,$00167#00000069#-071#1693041717933#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.90 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-72.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
70,-71,17:22:16,$00167#00000070#-071#1693041736429#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.60 RSRQ:-9.30 TAC:616 Id:20 EARFCN:3716 PWR:-70.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
71,85,17:22:34,$00167#00000071#0085#1693041754923#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.20 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-69.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
72,-69,17:22:53,$00167#00000072#-069#1693041773411#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.30 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-68.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
73,-73,17:23:11,$00167#00000073#-073#1693041791897#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.70 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-70.32 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
74,-73,17:23:30,$00167#00000074#-073#1693041810390#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-87.80 RSRQ:-9.20 TAC:616 Id:20 EARFCN:3716 PWR:-70.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
75,-75,17:23:48,$00167#00000075#-075#1693041828889#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.80 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-70.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
76,-69,17:24:07,$00167#00000076#-069#1693041847395#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-84.20 RSRQ:-8.90 TAC:616 Id:20 EARFCN:3716 PWR:-67.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
77,-73,17:24:25,$00167#00000077#-073#1693041865888#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.80 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-71.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
78,-71,17:24:44,$00167#00000078#-071#1693041884383#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.90 RSRQ:-9.10 TAC:616 Id:20 EARFCN:3716 PWR:-70.02 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
79,-73,17:25:02,$00167#00000079#-073#1693041902869#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-88.00 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-71.42 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
80,-73,17:25:21,$00167#00000080#-073#1693041921362#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.70 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-69.92 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
81,-71,17:25:39,$00167#00000081#-071#1693041939858#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.80 RSRQ:-8.80 TAC:616 Id:20 EARFCN:3716 PWR:-70.22 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
82,-71,17:25:58,$00167#00000082#-071#1693041958350#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-86.30 RSRQ:-8.70 TAC:616 Id:20 EARFCN:3716 PWR:-69.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
83,-71,17:26:16,$00167#00000083#-071#1693041976845#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-82.90 RSRQ:-8.60 TAC:616 Id:20 EARFCN:3716 PWR:-66.52 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
84,-71,17:26:35,$00167#00000084#-071#1693041995339#+SQNMONI: Singtel Cc:525 Nc:01 RSRP:-85.60 RSRQ:-9.00 TAC:616 Id:20 EARFCN:3716 PWR:-68.82 PAGING:256 CID:0xB169627 BAND:8 BW:20000?
